Code	SiteCode	biogeo	climate	lat	lon	alt	MMXT	MMNT	MNTM	EMXT	EMNT	TotalP	EMXP	dung	trap	BT	D	SR	ST
EEM_T1_C5	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	C	T1	0	1	0	0
EEM_T1_C5	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	20.8	8.4	15.1	24.6	3.7	67.8	14.5	C	T1b	0	4	0	2
EEM_T1_C6	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	20.8	8.4	15.1	24.6	3.7	67.8	14.5	C	T1b	0	5	0	0
EEM_T1_S1	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	S	T1	0	4	0	1
EEM_T1_S1	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	20.8	8.4	15.1	24.6	3.7	67.8	14.5	S	T1b	0	2	0	1
EEM_T1_S2	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	S	T1	0	2	0	0
EEM_T1_S2	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	20.8	8.4	15.1	24.6	3.7	67.8	14.5	S	T1b	0	2	0	0
EEM_T1_S3	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	S	T1	0	2	0	0
EEM_T1_S3	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	20.8	8.4	15.1	24.6	3.7	67.8	14.5	S	T1b	0	1	0	1
EEM_T1_S4	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	S	T1	0	1	0	0
EEM_T1_S4	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	20.8	8.4	15.1	24.6	3.7	67.8	14.5	S	T1b	0	0	0	1
EEM_T1_S5	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	S	T1	0	2	0	1
EEM_T1_S5	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	20.8	8.4	15.1	24.6	3.7	67.8	14.5	S	T1b	0	3	0	1
EEM_T1_S6	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	S	T1	0	4	0	1
EEM_T1_S6	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	20.8	8.4	15.1	24.6	3.7	67.8	14.5	S	T1b	0	1	0	0
EEM_T5_C1	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	C	T5	0	3	0	1
EEM_T5_C3	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	C	T5	0	5	0	0
EEM_T5_C4	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	C	T5	0	3	0	0
EEM_T5_C5	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	C	T5	0	2	0	1
EEM_T5_C6	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	C	T5	0	3	0	0
EEM_T5_S1	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	S	T5	0	4	0	0
EEM_T5_S2	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	S	T5	0	2	0	0
EEM_T5_S3	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	S	T5	0	2	0	1
EEM_T5_S4	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	S	T5	0	2	0	0
EEM_T5_S5	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	S	T5	0	2	0	0
EEM_T5_S6	EST_TP	Boreonemoral	Dfb	58.37222222	26.58361111	67	19.2	9	14	27.5	2.5	126.2	13	S	T5	0	2	0	1
G_JM_T1_C1	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	27.3	15.3	21.3	35	8.4	47.5	8.6	C	T1b	0	2	0	0
G_JM_T1_C2	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	C	T1	0	1	0	0
G_JM_T1_C2	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	27.3	15.3	21.3	35	8.4	47.5	8.6	C	T1b	0	1	0	0
G_JM_T1_C3	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	C	T1	1	0	0	0
G_JM_T1_C4	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	27.3	15.3	21.3	35	8.4	47.5	8.6	C	T1b	1	1	0	0
G_JM_T1_C5	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	C	T1	1	0	0	0
G_JM_T1_C5	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	27.3	15.3	21.3	35	8.4	47.5	8.6	C	T1b	1	0	0	0
G_JM_T1_C6	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	C	T1	1	0	0	0
G_JM_T1_C6	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	27.3	15.3	21.3	35	8.4	47.5	8.6	C	T1b	0	1	0	0
G_JM_T1_H1	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	H	T1	1	0	0	0
G_JM_T1_H2	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	H	T1	1	0	0	0
G_JM_T1_H2	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	27.3	15.3	21.3	35	8.4	47.5	8.6	H	T1b	0	4	0	0
G_JM_T1_H3	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	27.3	15.3	21.3	35	8.4	47.5	8.6	H	T1b	1	0	0	0
G_JM_T1_H5	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	H	T1	1	0	0	0
G_JM_T1_H6	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	H	T1	1	0	0	0
G_JM_T1_H6	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	27.3	15.3	21.3	35	8.4	47.5	8.6	H	T1b	0	1	0	0
G_JM_T5_C1	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	C	T5	1	0	0	0
G_JM_T5_C2	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	C	T5	1	0	0	0
G_JM_T5_C4	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	C	T5	1	1	0	0
G_JM_T5_C5	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	C	T5	1	0	0	0
G_JM_T5_C6	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	C	T5	1	0	0	0
G_JM_T5_H2	D_BAV	Central European highlands	Dfb	48.83277778	13.39805556	1150	21	12	16.5	30	6.5	108.2	17.5	H	T5	1	0	0	0
GJB_T_C1	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	24.7	12.6	18.6	33.2	8.7	65	14.7	C	T1b	0	2	0	0
GJB_T_C2	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	24.7	12.6	18.6	33.2	8.7	65	14.7	C	T1b	0	2	0	1
GJB_T_C3	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	24.7	12.6	18.6	33.2	8.7	65	14.7	C	T1b	0	3	0	2
GJB_T_C4	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	24.7	12.6	18.6	33.2	8.7	65	14.7	C	T1b	0	3	0	2
GJB_T_C5	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	24.7	12.6	18.6	33.2	8.7	65	14.7	C	T1b	0	3	0	3
GJB_T_C6	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	24.7	12.6	18.6	33.2	8.7	65	14.7	C	T1b	0	4	0	2
GJB_T1_C1	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	C	T1	0	2	0	2
GJB_T1_C2	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	C	T1	0	2	0	2
GJB_T1_C3	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	C	T1	0	0	0	2
GJB_T1_C4	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	C	T1	0	1	0	1
GJB_T1_C5	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	C	T1	0	2	0	1
GJB_T1_C6	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	C	T1	0	1	0	2
GJB_T1_H1	D_SB	Atlantic	Cfb	49.67888889	7.9925	320	25.3	11.6	18.4	35.9	6.2	34.8	11.4	H	T1	0	0	0	1
