Code	SiteCode	biogeo	climate	start	year	lat	lon	alt	MMXT	MMNT	MNTM	EMXT	EMNT	TotalP	EMXP	dung	trap	BT	D	SR	ST
KH_T5C2	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	C	T5	1	4	0	0
KH_T5C2	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	C	T5	34	11	0	1
KH_T5C3	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	C	T5	0	1	0	0
KH_T5C3	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	C	T5	5	2	0	0
KH_T5C4	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	C	T5	0	0	0	0
KH_T5C4	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	C	T5	3	8	0	0
KH_T5C5	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	C	T5	0	0	0	1
KH_T5C5	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	C	T5	12	10	0	0
KH_T5C6	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	C	T5	0	3	0	1
KH_T5C6	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	C	T5	12	16	0	0
KH_T5H1	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	H	T5	1	0	0	7
KH_T5H1	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	H	T5	11	498	0	1
KH_T5H2	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	H	T5	0	2	0	4
KH_T5H2	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	H	T5	0	58	0	1
KH_T5H3	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	H	T5	4	2	0	12
KH_T5H3	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	H	T5	5	459	0	2
KH_T5H4	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	H	T5	4	2	0	6
KH_T5H4	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	H	T5	3	140	0	1
KH_T5H5	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	H	T5	6	1	0	2
KH_T5H5	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	H	T5	10	104	0	0
KH_T5H6	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	H	T5	4	2	0	3
KH_T5H6	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	H	T5	3	180	0	0
KH_T5S1	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	S	T5	0	4	0	1
KH_T5S1	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	S	T5	16	8	0	1
KH_T5S2	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	S	T5	1	3	0	2
KH_T5S2	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	S	T5	11	17	0	0
KH_T5S3	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	S	T5	1	1	0	0
KH_T5S3	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	S	T5	5	4	0	1
KH_T5S4	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	S	T5	0	1	0	0
KH_T5S4	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	S	T5	7	28	0	0
KH_T5S5	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	S	T5	0	7	0	1
KH_T5S5	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	S	T5	2	30	0	0
KH_T5S6	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	S	T5	6	2	0	2
KH_T5S6	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	S	T5	2	34	0	2
KHTC1	B_KH	Atlantic	Cfb	September	2015	51.39222222	4.434722222	18	17.9	8.6	13.2	20.3	2.4	112.5	23.9	C	T1b	6	18	0	3
KHTC2	B_KH	Atlantic	Cfb	September	2015	51.39222222	4.434722222	18	17.9	8.6	13.2	20.3	2.4	112.5	23.9	C	T1b	9	14	0	1
KHTC3	B_KH	Atlantic	Cfb	September	2015	51.39222222	4.434722222	18	17.9	8.6	13.2	20.3	2.4	112.5	23.9	C	T1b	35	21	0	3
KHTC4	B_KH	Atlantic	Cfb	September	2015	51.39222222	4.434722222	18	17.9	8.6	13.2	20.3	2.4	112.5	23.9	C	T1b	9	5	0	1
KHTC5	B_KH	Atlantic	Cfb	September	2015	51.39222222	4.434722222	18	17.9	8.6	13.2	20.3	2.4	112.5	23.9	C	T1b	9	48	0	4
KHTC6	B_KH	Atlantic	Cfb	September	2015	51.39222222	4.434722222	18	17.9	8.6	13.2	20.3	2.4	112.5	23.9	C	T1b	15	7	0	2
KHTS1	B_KH	Atlantic	Cfb	September	2015	51.39222222	4.434722222	18	17.9	8.6	13.2	20.3	2.4	112.5	23.9	S	T1b	5	3	0	0
KHTS2	B_KH	Atlantic	Cfb	September	2015	51.39222222	4.434722222	18	17.9	8.6	13.2	20.3	2.4	112.5	23.9	S	T1b	40	0	0	0
KHTS3	B_KH	Atlantic	Cfb	September	2015	51.39222222	4.434722222	18	17.9	8.6	13.2	20.3	2.4	112.5	23.9	S	T1b	18	4	0	0
KHTS4	B_KH	Atlantic	Cfb	September	2015	51.39222222	4.434722222	18	17.9	8.6	13.2	20.3	2.4	112.5	23.9	S	T1b	15	0	0	0
KHTS5	B_KH	Atlantic	Cfb	September	2015	51.39222222	4.434722222	18	17.9	8.6	13.2	20.3	2.4	112.5	23.9	S	T1b	6	0	0	0
KHTS6	B_KH	Atlantic	Cfb	September	2015	51.39222222	4.434722222	18	17.9	8.6	13.2	20.3	2.4	112.5	23.9	S	T1b	52	2	0	0
ZW_T1C1	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	C	T1	1	5	0	1
ZW_T1C1	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	C	T1	0	10	0	0
ZW_T1C2	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	C	T1	0	12	0	0
ZW_T1C2	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	C	T1	1	14	0	0
ZW_T1C3	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	C	T1	0	7	0	2
ZW_T1C3	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	C	T1	0	14	0	0
ZW_T1C4	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	C	T1	0	7	0	0
ZW_T1C4	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	C	T1	0	13	0	0
ZW_T1C5	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	C	T1	0	2	0	0
ZW_T1C5	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	C	T1	0	11	0	0
ZW_T1C6	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	C	T1	0	9	0	1
ZW_T1C6	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	C	T1	0	26	0	0
ZW_T1H1	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	H	T1	2	2	0	1
ZW_T1H1	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	H	T1	0	28	0	0
ZW_T1H2	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	H	T1	0	2	0	1
ZW_T1H2	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	H	T1	0	42	0	0
ZW_T1H3	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	H	T1	0	0	0	1
ZW_T1H3	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	H	T1	0	31	0	0
ZW_T1H4	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	H	T1	0	1	0	0
ZW_T1H4	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	H	T1	0	38	0	4
ZW_T1H5	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	H	T1	0	2	0	0
ZW_T1H5	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	H	T1	1	41	0	0
ZW_T1H6	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	H	T1	0	7	0	1
ZW_T1H6	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	H	T1	0	16	0	0
ZW_T1S1	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	S	T1	0	6	0	0
ZW_T1S1	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	S	T1	0	40	0	1
ZW_T1S2	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	S	T1	0	8	0	2
ZW_T1S2	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	S	T1	0	10	0	0
ZW_T1S3	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	S	T1	0	3	0	0
ZW_T1S3	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	S	T1	0	16	0	0
ZW_T1S4	B_ZW	Atlantic	Cfb	July	2014	51.3625	3.367222222	3	22.5	16.3	19.4	30.3	12.1	77.7	18.5	S	T1	0	4	0	0
ZW_T1S4	B_ZW	Atlantic	Cfb	September	2014	51.3625	3.367222222	3	20.6	14.5	17.6	25.6	12.2	19.6	13	S	T1	0	45	0	1
